Year,State,District,Block,Village,Nitrogen - High,Nitrogen - Medium,Nitrogen - Low,Phosphorous - High,Phosphorous - Medium,Phosphorous - Low,Potassium - High,Potassium - Medium,Potassium - Low,OC - High,OC - Medium,OC - Low,EC - Saline,EC - Non Saline,pH - Acidic,pH - Neutral,pH - Alkaline
2025-26,ASSAM,DHEMAJI,DHEMAJI - 2546,Jiadhal Tinigharia,10,51,10,71,0,0,6,53,12,18,20,33,0,71,66,5,0
2025-26,ASSAM,DHEMAJI,DHEMAJI - 2546,Jiadhal Miri Pathar,3,46,9,58,0,0,15,40,3,21,10,27,0,58,55,3,0
2025-26,ASSAM,DHEMAJI,DHEMAJI - 2546,Hatipara,31,8,1,10,7,23,4,16,20,31,6,3,0,40,27,13,0
2025-26,ASSAM,DHEMAJI,DHEMAJI - 2546,Lakhipathar Koibatra,117,2,0,53,39,27,21,61,37,118,1,0,0,119,68,51,0
2025-26,ASSAM,DHEMAJI,DHEMAJI - 2546,Batuamukh,28,9,0,21,11,5,0,20,17,28,7,2,0,37,22,15,0
