Year,State,District,Block,Village,Nitrogen - High,Nitrogen - Medium,Nitrogen - Low,Phosphorous - High,Phosphorous - Medium,Phosphorous - Low,Potassium - High,Potassium - Medium,Potassium - Low,OC - High,OC - Medium,OC - Low,EC - Saline,EC - Non Saline,pH - Acidic,pH - Neutral,pH - Alkaline
2025-26,ASSAM,DARRANG,DALGAON-SIALMARI - 2527,Baruajhar 1/2,136,80,20,105,103,28,0,6,230,148,26,62,0,236,215,21,0
2025-26,ASSAM,DARRANG,DALGAON-SIALMARI - 2527,Bhotpukhuri,50,60,0,107,3,0,0,20,90,70,39,1,0,110,110,0,0
