Year,State,District,Block,Village,Nitrogen - High,Nitrogen - Medium,Nitrogen - Low,Phosphorous - High,Phosphorous - Medium,Phosphorous - Low,Potassium - High,Potassium - Medium,Potassium - Low,OC - High,OC - Medium,OC - Low,EC - Saline,EC - Non Saline,pH - Acidic,pH - Neutral,pH - Alkaline
2025-26,ASSAM,DARRANG,KALAIGAON - 2528,Bahjani,49,106,0,155,0,0,20,132,3,68,56,31,0,155,34,121,0
2025-26,ASSAM,DARRANG,KALAIGAON - 2528,Bherbheri Bil,172,44,0,81,93,42,0,27,189,200,14,2,0,216,216,0,0
2025-26,ASSAM,DARRANG,KALAIGAON - 2528,Bhakat Para,94,69,7,97,64,9,0,0,170,109,22,39,0,170,161,9,0
2025-26,ASSAM,DARRANG,KALAIGAON - 2528,Chenibari,110,51,0,146,15,0,11,102,48,128,31,2,0,161,161,0,0
