Year,State,District,Block,Village,Nitrogen - High,Nitrogen - Medium,Nitrogen - Low,Phosphorous - High,Phosphorous - Medium,Phosphorous - Low,Potassium - High,Potassium - Medium,Potassium - Low,OC - High,OC - Medium,OC - Low,EC - Saline,EC - Non Saline,pH - Acidic,pH - Neutral,pH - Alkaline
2025-26,ASSAM,DARRANG,PUB-MANGALDAI - 2537,Atakata Chapori,64,116,1,181,0,0,0,94,87,87,43,51,0,181,88,93,0
2025-26,ASSAM,DARRANG,PUB-MANGALDAI - 2537,Bagdia,201,196,0,397,0,0,87,234,76,267,94,36,0,397,117,280,0
2025-26,ASSAM,DARRANG,PUB-MANGALDAI - 2537,Bandia Gaon,184,231,0,415,0,0,52,296,67,235,104,76,0,415,96,319,0
2025-26,ASSAM,DARRANG,PUB-MANGALDAI - 2537,N.C.Chaulkhowa,79,44,9,8,84,40,0,1,131,88,12,32,0,132,2,130,0
2025-26,ASSAM,DARRANG,PUB-MANGALDAI - 2537,Chalani Kuchi,56,34,8,95,3,0,0,0,98,65,12,21,0,98,76,22,0
2025-26,ASSAM,DARRANG,PUB-MANGALDAI - 2537,Balabari,57,45,0,23,30,49,0,1,101,81,15,6,0,102,80,22,0
