Year,State,District,Block,Village,Nitrogen - High,Nitrogen - Medium,Nitrogen - Low,Phosphorous - High,Phosphorous - Medium,Phosphorous - Low,Potassium - High,Potassium - Medium,Potassium - Low,OC - High,OC - Medium,OC - Low,EC - Saline,EC - Non Saline,pH - Acidic,pH - Neutral,pH - Alkaline
2025-26,ANDHRA PRADESH,GUNTUR,THULLUR - 4974,Pedaparimi,0,0,132,122,5,5,132,0,0,130,1,1,1,131,0,132,0
2025-26,ANDHRA PRADESH,GUNTUR,THULLUR - 4974,Rayapudi,0,0,3,3,0,0,3,0,0,3,0,0,0,3,0,3,0
2025-26,ANDHRA PRADESH,GUNTUR,THULLUR - 4974,Harischandrapuram,0,0,58,57,0,1,53,5,0,51,1,6,23,35,0,58,0
2025-26,ANDHRA PRADESH,GUNTUR,THULLUR - 4974,Vaddamanu,0,0,47,44,2,1,45,1,1,35,2,10,8,39,0,47,0
