Year,State,District,Block,Village,Nitrogen - High,Nitrogen - Medium,Nitrogen - Low,Phosphorous - High,Phosphorous - Medium,Phosphorous - Low,Potassium - High,Potassium - Medium,Potassium - Low,OC - High,OC - Medium,OC - Low,EC - Saline,EC - Non Saline,pH - Acidic,pH - Neutral,pH - Alkaline
2025-26,ANDHRA PRADESH,GUNTUR,MANGALAGIRI - 4948,Nutakki,0,4,46,50,0,0,50,0,0,50,0,0,2,48,0,50,0
2025-26,ANDHRA PRADESH,GUNTUR,MANGALAGIRI - 4948,Ramachandrapuram,0,0,50,50,0,0,50,0,0,50,0,0,1,49,0,50,0
2025-26,ANDHRA PRADESH,GUNTUR,MANGALAGIRI - 4948,Chinakakani,0,0,50,48,0,2,42,8,0,50,0,0,28,22,0,50,0
2025-26,ANDHRA PRADESH,GUNTUR,MANGALAGIRI - 4948,Kaza,0,27,73,85,9,6,97,3,0,97,2,1,0,100,0,100,0
2025-26,ANDHRA PRADESH,GUNTUR,MANGALAGIRI - 4948,Nidamarru,0,5,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0
2025-26,ANDHRA PRADESH,GUNTUR,MANGALAGIRI - 4948,Atmakur (OG),0,2,48,47,2,1,50,0,0,50,0,0,0,50,0,50,0
2025-26,ANDHRA PRADESH,GUNTUR,MANGALAGIRI - 4948,Chinavadlapudi,0,24,21,43,1,1,45,0,0,45,0,0,25,20,0,45,0
